"year","X","Y"
1979,-0.13,17.93
1980,0.29,14.56
1981,-0.12,32.22
1982,0.42,22.2
1983,0.08,54.26
1984,0.8,58.61
1985,0.24,15.13
1986,-1.09,39.25
1987,2.57,52.17
1988,0.89,39.66
1989,1.8,21.8
1990,7.86,-49.51
1991,6.59,-25.55
1992,-0.37,6.43
1993,0.16,15.27
1994,0.5,60.4
